user_id,movie_id,rating,review,rating_date
132,119,2,Cell away mission join.,2025-04-07
80,156,2,Anyone bar father understand effort.,2024-12-04
125,101,5,Until early result serve argue.,2025-01-20
12,127,1,Political shake lead mind would world.,2024-05-06
83,192,1,Alone lose wrong soon field action.,2024-11-12
78,265,1,Bad game weight start campaign from face.,2024-08-18
47,1,1,Away former behavior sister window line yourself.,2024-08-23
17,157,1,Article ask quite song.,2025-04-05
97,296,3,Many speech foreign culture give performance.,2024-07-06
100,137,3,Blue business war.,2025-04-16
1,185,1,Draw already hour.,2025-02-10
101,166,1,Participant sister approach even pass entire leg.,2025-02-10
59,42,1,Explain on as piece television among exist sport.,2024-05-05
190,241,4,Address national specific give dog.,2024-10-25
169,130,3,Goal point table push in.,2024-12-11
194,245,3,Know wonder less east establish.,2024-06-21
171,138,2,Seem why bag out consumer.,2024-07-29
158,172,3,Up there thank carry.,2024-10-12
37,15,3,Accept enough office sound resource office though.,2024-09-24
110,142,1,Follow will notice evening.,2024-10-26
124,217,2,Audience man who dog watch another imagine.,2024-07-01
139,47,4,Matter your put east.,2024-09-08
183,131,2,Effort area court live least.,2024-11-21
138,213,3,Beyond want cause result media last.,2024-08-04
141,115,2,Story wall company everybody wife house ever.,2024-08-12
90,204,2,Because stage note than.,2025-01-22
174,110,2,Build painting either site.,2024-11-25
62,44,5,Avoid government send night.,2025-03-06
103,99,2,About source reality drive great bring.,2024-10-03
138,109,1,Name business perform professor affect.,2025-02-23
196,259,4,Ground represent phone every manager give.,2024-08-06
192,186,4,House rise special myself coach despite occur.,2025-01-11
34,27,5,Effort think open collection cost score identify.,2024-12-15
111,20,4,Difference near image back itself sometimes.,2024-11-07
58,277,3,Sister same senior source pattern most.,2024-09-19
180,118,1,Reveal share material offer truth just.,2024-12-31
80,221,2,Job dream personal treat book.,2024-10-28
139,103,4,But student stop movie herself early let.,2024-10-07
63,171,4,Against window course policy.,2025-01-31
117,189,3,City weight tonight cultural.,2024-11-15
51,83,5,Pick gun himself your.,2024-11-11
193,33,3,Population we money law blue.,2024-05-25
